lokasi,harga,jenis_properti,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,luas_tanah,luas_bangunan
"Medan Johor, Medan",21.639556569220566,Ruko,0.0,3.0,0.0,4.174387269895637,5.351858133476067
"Medan Maimun, Medan",20.863027780191135,Ruko,0.0,4.0,0.0,4.290459441148391,5.262690188904886
"Medan Tembung, Medan",20.617905322399697,Rumah,2.0,3.0,1.0,4.04305126783455,4.61512051684126
"Medan Baru, Medan",22.03159865686686,Rumah,5.0,5.0,2.0,5.860786223465865,5.707110264748875
"Medan Timur, Medan",21.752885254484713,Ruko,0.0,1.0,0.0,4.624972813284271,5.5909869805108565
"Medan Johor, Medan",21.639556569220566,Rumah,3.0,2.0,3.0,4.976733742420574,4.976733742420574
"Medan Area, Medan",20.09964472090075,Apartemen,1.0,1.0,0.0,3.2188758248682006,3.2188758248682006
"Medan Selayang, Medan",21.821878125947855,Rumah,5.0,6.0,1.0,5.707110264748875,5.673323267171493
"Medan Petisah, Medan",22.181880859878486,Rumah,5.0,4.0,0.0,5.53338948872752,6.22455842927536
"Medan Selayang, Medan",20.435583765827964,Rumah,3.0,2.0,1.0,4.290459441148391,4.394449154672439
"Medan Amplas, Medan",20.020068322553165,Rumah,3.0,2.0,1.0,4.442651256490317,4.51085950651685
"Medan Selayang, Medan",21.05973807428191,Ruko,0.0,0.0,0.0,4.04305126783455,5.771441123130016
"Medan Johor, Medan",20.818576017659826,Ruko,0.0,3.0,0.0,4.174387269895637,5.262690188904886
"Medan Johor, Medan",19.92475814295086,Rumah,2.0,2.0,0.0,4.330733340286331,4.795790545596741
"Medan Selayang, Medan",22.33270374958051,Rumah,4.0,4.0,0.0,6.206575926724928,6.673297967767654
"Medan Helvetia, Medan",21.4887336795511,Rumah,4.0,4.0,1.0,4.976733742420574,5.303304908059076
"Medan Marelan, Medan",19.33697147982652,Rumah,2.0,1.0,1.0,4.499809670330265,4.499809670330265
"Medan Denai, Medan",19.89085659135181,Rumah,2.0,1.0,1.0,4.653960350157523,4.51085950651685
"Medan Sunggal, Medan",20.671972543611492,Rumah,3.0,3.0,1.0,4.51085950651685,4.890349128221754
"Medan Helvetia, Medan",21.02337043013749,Rumah,4.0,3.0,0.0,6.077642243349034,6.144185634125646
"Medan Johor, Medan",19.806975107572256,Rumah,3.0,1.0,0.0,4.454347296253507,4.804021044733257
"Medan Barat, Medan",21.02337043013749,Ruko,0.0,0.0,0.0,3.784189633918261,4.844187086458591
"Medan Amplas, Medan",20.70815220015159,Ruko,0.0,0.0,0.0,4.23410650459726,5.241747015059643
"Medan Barat, Medan",21.990213440715426,Ruko,0.0,0.0,0.0,4.919980925828125,5.780743515792329
"Medan Tuntungan, Medan",20.585152535964884,Ruko,0.0,0.0,0.0,4.330733340286331,5.707110264748875
"Medan Tuntungan, Medan",20.36659089443625,Ruko,0.0,0.0,0.0,4.110873864173311,4.859812404361672
"Medan Barat, Medan",20.9055873945737,Ruko,0.0,0.0,0.0,4.23410650459726,5.288267030694535
"Medan Maimun, Medan",21.686440155101096,Ruko,0.0,0.0,0.0,4.219507705176107,5.278114659230517
"Medan Selayang, Medan",20.369443963414586,Rumah,1.0,1.0,0.0,4.5217885770490405,4.624972813284271
"Medan Denai, Medan",20.522372895789516,Rumah,1.0,1.0,0.0,4.787491742782046,3.9889840465642745
"Medan Timur, Medan",20.29248292239242,Rumah,1.0,1.0,0.0,4.394449154672439,4.77912349311153
"Medan Maimun, Medan",21.59873457471698,Ruko,0.0,4.0,0.0,4.04305126783455,5.25227342804663
"Medan Marelan, Medan",19.806975107572256,Rumah,2.0,2.0,1.0,4.442651256490317,4.02535169073515
"Medan Johor, Medan",20.030118658386467,Rumah,2.0,1.0,1.0,4.51085950651685,3.9318256327243257
"Medan Marelan, Medan",20.00991595110976,Rumah,2.0,2.0,1.0,4.174387269895637,4.02535169073515
"Medan Selayang, Medan",20.29248292239242,Rumah,3.0,2.0,1.0,4.948759890378168,4.2626798770413155
"Medan Kota, Medan",20.72326583794641,Rumah,3.0,2.0,1.0,4.143134726391533,4.477336814478207
"Medan Selayang, Medan",21.12873094572124,Rumah,3.0,3.0,0.0,5.198497031265826,4.709530201312334
"Medan Selayang, Medan",20.435583765827964,Rumah,3.0,2.0,0.0,4.795790545596741,4.51085950651685
