nama,lokasi,harga,jenis_properti,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,luas_tanah,luas_bangunan
Ruko Komersial Strategis Jual Murah,"Medan Johor, Medan","Rp 2,5 Miliar Total",Ruko,,3,,64 m²,210 m²
Dijual Ruko Murah Jalan Katamso Komplek Prima Minimalis,"Medan Maimun, Medan","Rp 1,15 Miliar Total",Ruko,,4,,72 m²,192 m²
"Di Jual Villa Mutiara Poit, Jl. Meteorologi Vi ( Dekat Mutiara Residence)","Medan Tembung, Medan",Rp 900 Juta,Rumah,2,3,1,56 m²,100 m²
"Rumah Bagus Dipusat Kota, Harga Miring, Banyak Kamar, Cocok Untuk Usaha Kos-Kosan","Medan Baru, Medan","Rp 3,7 Miliar",Rumah,5,5,2,350 m²,300 m²
Ruko 3 Lantai Lokasi Sangat Strategis di H Yamin Medan Timur,"Medan Timur, Medan","Rp 2,8 Miliar Total",Ruko,,1,,101 m²,267 m²
Rumah 2 Lantai Siap Huni Bagus di Medan Johor,"Medan Johor, Medan","Rp 2,5 Miliar",Rumah,3,2,3,144 m²,144 m²
Apartment Medan Deprima Apartment Full Furnished,"Medan Area, Medan",Rp 536 Juta,Apartemen,Studio,1,,,24 m²
Rumah Mewah Luas 300meter Lokasi Inti Kota,"Medan Selayang, Medan",Rp 3 Miliar,Rumah,5,6,1,300 m²,290 m²
RUMAH LABU 2 MEDAN PETISAH,"Medan Petisah, Medan","Rp 4,3 Miliar",Rumah,5,4,,252 m²,504 m²
"Promo Cash 750 Juta Dekat Kampus Usu di Jl. Dr. Mansyur No.88, Padang Bulan Selayang I, Medan Selayang, Kota Medan, Sumatera Utara, Indonesia, 20131, Medan Selayang","Medan Selayang, Medan",Rp 750 Juta,Rumah,3,2,1,72 m²,80 m²
"400 Jutaan Rumah 2 Lantai Di Marendal di Jl. Marindal No.1, Marindal Satu, Patumbak, Deli Serdang, Sumatera Utara, Indonesia, 20361, Medan Amplas","Medan Amplas, Medan",Rp 495 Juta,Rumah,3,2,1,84 m²,90 m²
"Komersial Murah Aset Bri, Medan Selayang, Kota Medan","Medan Selayang, Medan","Rp 1,4 Miliar Total",Ruko,,,,56 m²,320 m²
"Komersial Murah Aset BRI, Medan Johor, Kota Medan","Medan Johor, Medan","Rp 1,1 Miliar Total",Ruko,,3,,64 m²,192 m²
"Rumah Murah Aset BRI, Medah Johor, Kota Medan","Medan Johor, Medan",Rp 450 Juta,Rumah,2,2,,75 m²,120 m²
"Rumah Murah Aset BRI, Medan Selayang, Kota Medan","Medan Selayang, Medan",Rp 5 Miliar,Rumah,4,4,,495 m²,790 m²
Rumah Baru Siap Huni Lokasi Strategis di Medan Helvetia,"Medan Helvetia, Medan","Rp 2,15 Miliar",Rumah,4,4,1,144 m²,200 m²
Dijual Rumah Tinggal Di Marelan Pasar Iii Barat,"Medan Marelan, Medan",Rp 250 Juta,Rumah,2,1,1,89 m²,89 m²
Rumah Di Jalan Tuba 2 Medan Denai Siap Huni Bagus Dan Murah,"Medan Denai, Medan",Rp 435 Juta,Rumah,2,1,1,104 m²,90 m²
Rumah 2 Lantai Komplek Sunggal Residence,"Medan Sunggal, Medan",Rp 950 Juta,Rumah,3,3,1,90 m²,132 m²
"Rumah Murah Aset BRI, Medan Helvetia, Kota Medan","Medan Helvetia, Medan","Rp 1,35 Miliar",Rumah,4,3,,435 m²,465 m²
"Rumah Murah Aset BRI, Medan Johor, Kota Medan","Medan Johor, Medan",Rp 400 Juta,Rumah,3,1,,85 m²,121 m²
Ruko Jalan pertempuran,"Medan Barat, Medan","Rp 1,35 Miliar Total",Ruko,,,,43 m²,126 m²
Ruko Komp Amplas Centre,"Medan Amplas, Medan",Rp 985 Juta Total,Ruko,,,,68 m²,188 m²
Ruko Jalan Jendral Ahmad Yani,"Medan Barat, Medan","Rp 3,55 Miliar Total",Ruko,,,,136 m²,323 m²
"Ruko Lelang Medan Maimun, Kota Medan","Medan Tuntungan, Medan",Rp 871 Juta Total,Ruko,,,,75 m²,300 m²
"Ruko Lelang Medan Maimun, Kota Medan","Medan Tuntungan, Medan",Rp 700 Juta Total,Ruko,,,,60 m²,128 m²
"Ruko Lelang Medan Maimun, Kota Medan","Medan Barat, Medan","Rp 1,2 Miliar Total",Ruko,,,,68 m²,197 m²
"Ruko AJB Medan Maimun, Kota Medan","Medan Maimun, Medan","Rp 2,62 Miliar Total",Ruko,,,,67 m²,195 m²
Rumah Tinggal Komplek Taman Harapan Indah,"Medan Selayang, Medan",Rp 702 Juta,Rumah,1,1,,91 m²,101 m²
Rumah Tinggal Komplek Halton Place,"Medan Denai, Medan",Rp 818 Juta,Rumah,1,1,,119 m²,53 m²
Mapilindo Residence Jl.Mapilindo Akses Krakatau-Pembangunan  IV,"Medan Timur, Medan",Rp 650 Juta,Rumah,1,1,,80 m²,118 m²
Ruko Merangkap Rumah Mewah Jual Murah,"Medan Maimun, Medan","Rp 2,4 Miliar Total",Ruko,,4,,56 m²,190 m²
Rumah Idaman Modern Di Marelan Pasar 4 Barat,"Medan Marelan, Medan",Rp 400 Juta,Rumah,2,2,1,84 m²,55 m²
