iter	RMSE
0	0.8356438115
1	0.8089647765
2	0.7852764311
3	0.7632391222
4	0.7428179207
5	0.7234137376
6	0.7057611907
7	0.6891208461
8	0.6725894466
9	0.6593906633
10	0.6466655816
11	0.6341299882
12	0.6221789404
13	0.6098400318
14	0.5986595759
15	0.5886013288
16	0.5793404165
17	0.570678166
18	0.562721786
19	0.5548636527
20	0.5490183373
21	0.5425697875
22	0.5362697356
23	0.5305542391
24	0.524907096
25	0.5196450686
26	0.5152496909
27	0.5111430398
28	0.5069609838
29	0.503225716
30	0.4994330363
31	0.4963540333
32	0.4934858239
33	0.4908109174
34	0.4881429592
35	0.4852116506
36	0.4823299974
37	0.4796934527
38	0.477468368
39	0.4750419772
40	0.473241439
41	0.4722678919
42	0.4705840095
43	0.4690285426
44	0.4675016275
45	0.4660758935
46	0.4647977791
47	0.4636630328
48	0.4624675672
49	0.4612551059
50	0.4602221584
51	0.4587902327
52	0.4574605663
53	0.4566447607
54	0.4558609328
55	0.4546485634
56	0.4535266612
57	0.4529578797
58	0.4521483166
59	0.4509984548
60	0.4504115787
61	0.4497906175
62	0.4490509528
63	0.4484873101
64	0.4480328736
65	0.4475346883
66	0.447091751
67	0.4466109276
68	0.4459999264
69	0.445426961
70	0.4451729799
71	0.4447279833
72	0.4444972338
73	0.4440922941
74	0.4436601907
75	0.4433200942
76	0.4427864272
77	0.4423636132
78	0.4419786338
79	0.4416322453
80	0.441232587
81	0.4407352199
82	0.4403488754
83	0.4401099557
84	0.4397993805
85	0.4395112226
86	0.4391391436
87	0.4389063436
88	0.4385947103
89	0.4382774051
90	0.4380881021
91	0.4379328127
92	0.4377930058
93	0.4375427526
94	0.4372996107
95	0.436871321
96	0.4366177555
97	0.4361930861
98	0.4358509741
99	0.4355025186
100	0.4352782123
101	0.4348902688
102	0.4347727949
103	0.4344307647
104	0.4341525959
105	0.4339254364
106	0.4336218618
107	0.4336002266
108	0.4334614901
109	0.4332964552
110	0.4329990751
111	0.4325828079
112	0.4322541091
113	0.4318479142
114	0.4315292465
115	0.4315180341
116	0.431204773
117	0.4310532334
118	0.4308609581
119	0.4306942776
120	0.4304973742
121	0.4302331691
122	0.4299529055
123	0.4297383061
124	0.429689
125	0.4294947902
126	0.4292581029
127	0.4289426651
128	0.4285725688
129	0.4282820657
130	0.4280054167
131	0.4278257512
132	0.4274112147
133	0.4272697915
134	0.4269728948
135	0.4267055723
136	0.426418353
137	0.4262296578
138	0.4260450132
139	0.4259554473
140	0.4257056199
141	0.4255399436
142	0.425131854
143	0.424894793
144	0.4246408057
145	0.4243671596
146	0.424314191
147	0.4241800518
148	0.4240730728
149	0.4239474895
150	0.4237194562
151	0.4236014826
152	0.4233926601
153	0.4232407759
154	0.423076196
155	0.4228310992
156	0.4224702844
157	0.4223435828
158	0.4222050653
159	0.4219661527
160	0.4217319457
161	0.4215727046
162	0.4213577127
163	0.4212150128
164	0.4209236715
165	0.4207909436
166	0.4205515597
167	0.4202014595
168	0.4200194979
169	0.4198123287
170	0.4196288923
171	0.4194753777
172	0.4194193228
173	0.4192620311
174	0.4190906586
175	0.4188622231
176	0.4186843734
177	0.4185466536
178	0.4182913896
179	0.418096803
180	0.417848592
181	0.4176300639
182	0.417444686
183	0.4171163779
184	0.4169343306
185	0.4167292547
186	0.4164598594
187	0.4162713409
188	0.4159767266
189	0.4157311349
190	0.4156119356
191	0.4154261079
192	0.4152516505
193	0.4150736723
194	0.4149736809
195	0.4148226161
196	0.4145651587
197	0.4143282588
198	0.4141512231
199	0.4138533792
200	0.4136082272
201	0.413464059
202	0.4133358702
203	0.4132357552
204	0.4128814601
205	0.4127423407
206	0.4125984566
207	0.4123319066
208	0.4121915349
209	0.4120291635
210	0.4119109859
211	0.4118702205
212	0.4117288836
213	0.4115437344
214	0.4113365259
215	0.4112330246
216	0.4110832721
217	0.4109722186
218	0.4108697824
219	0.4107151087
220	0.4105158882
221	0.4102791298
222	0.4100609182
223	0.4098605995
224	0.4096826693
225	0.4094375777
226	0.4091700094
227	0.4090528199
228	0.4088850595
229	0.4088267976
230	0.408700943
231	0.4086299356
232	0.4084059626
233	0.40824943
234	0.4081460956
235	0.4079617623
236	0.4077485627
237	0.4076207236
238	0.4074440626
239	0.4073040246
240	0.4072006529
241	0.4070701907
242	0.4070024343
243	0.4067583468
244	0.4065319187
245	0.4064689981
246	0.4063290548
247	0.406224632
248	0.4060173273
249	0.4059190936
250	0.4056319161
251	0.4054645471
252	0.4053618778
253	0.4053030036
254	0.4049958413
255	0.4047601902
256	0.404570875
257	0.4043973112
258	0.4042125551
259	0.4041490016
260	0.4040250202
261	0.4039314449
262	0.4037928723
263	0.4035781475
264	0.4034619224
265	0.4033375921
266	0.4032308096
267	0.4030046001
268	0.4028793081
269	0.4025735162
270	0.4024075504
271	0.4022796316
272	0.4022254021
273	0.4021044636
274	0.4020848221
275	0.401848831
276	0.4016759372
277	0.4014716001
278	0.4013750771
279	0.4013062863
280	0.4011297658
281	0.4011098617
282	0.4010284632
283	0.4009473894
284	0.4007538276
285	0.4006092034
286	0.4003747089
287	0.4002408356
288	0.4001267196
289	0.4000285661
290	0.3998105269
291	0.3997297251
292	0.3996173872
293	0.3992753703
294	0.3989628703
295	0.3987536615
296	0.3986401897
297	0.398499889
298	0.398357666
299	0.3982297157
300	0.3980882289
301	0.3978950423
302	0.3977546265
303	0.3976137204
304	0.3974606346
305	0.3972751286
306	0.3971635279
307	0.3970667435
308	0.3970299623
309	0.3969327577
310	0.3967534867
311	0.3965399443
312	0.3963727821
313	0.3962398123
314	0.3962145992
315	0.3960326665
316	0.395904749
317	0.3958025863
318	0.3957314516
319	0.3956777038
320	0.3955278496
321	0.3954464466
322	0.3953738491
323	0.3952631837
324	0.3950793859
325	0.3949680197
326	0.3948535709
327	0.3946185693
328	0.394549847
329	0.3943967098
330	0.3942896174
331	0.3941773858
332	0.3940552252
333	0.3939513309
334	0.3938113037
335	0.3937630104
336	0.3937283764
337	0.3935928981
338	0.3934256757
339	0.3933153848
340	0.3932894793
341	0.3931897374
342	0.3930642816
343	0.3930260284
344	0.3929315709
345	0.3927852463
346	0.3926982606
347	0.3925462743
348	0.3924475799
349	0.3923409455
350	0.3922584527
351	0.3920893562
352	0.39198887
353	0.3919016075
354	0.391785106
355	0.3916764897
356	0.3915635381
357	0.3915142403
358	0.3913664821
359	0.3912631124
360	0.3911844077
361	0.391084749
362	0.3909942586
363	0.3908659838
364	0.3906965346
365	0.3905566433
366	0.390470895
367	0.3903156114
368	0.3902870297
369	0.3901711346
370	0.3900348509
371	0.3899307451
372	0.3898006348
373	0.3896814825
374	0.3895885608
375	0.3895167109
376	0.3893964705
377	0.3892629762
378	0.3892003459
379	0.3890462346
380	0.3889634745
381	0.3887973251
382	0.3886953723
383	0.3885851686
384	0.3884740423
385	0.3883222904
386	0.3882463062
387	0.3881467298
388	0.3881158973
389	0.387940578
390	0.3878977422
391	0.3877311196
392	0.3876758946
393	0.3875768674
394	0.3875469175
395	0.3874975093
396	0.3874895758
397	0.3873828637
398	0.3873082371
399	0.3871701712
400	0.3870842975
401	0.38700966
402	0.3869212315
403	0.3867936157
404	0.3867062723
405	0.386633265
406	0.3865516908
407	0.3865132487
408	0.3863794379
409	0.3861752521
410	0.3860707853
411	0.3858901545
412	0.3858444559
413	0.385752708
414	0.3856259489
415	0.385511121
416	0.3853294072
417	0.3851958739
418	0.3851255597
419	0.385033688
420	0.3849496686
421	0.3847655135
422	0.3847003598
423	0.3846251363
424	0.3844477649
425	0.384309033
426	0.384244767
427	0.3841361766
428	0.3840123568
429	0.383935165
430	0.3838604708
431	0.3837335745
432	0.3836476397
433	0.3835502629
434	0.3835061403
435	0.3833820083
436	0.3832746023
437	0.3831134593
438	0.383010659
439	0.3828371179
440	0.3826929788
441	0.3826329449
442	0.3825857198
443	0.3824986143
444	0.3822032323
445	0.3820489169
446	0.381949702
447	0.3818397372
448	0.381776711
449	0.3816651431
450	0.3814623769
451	0.3812415517
452	0.381125953
453	0.3809597717
454	0.3808658717
455	0.3808525535
456	0.3807505865
457	0.3807051258
458	0.3806183909
459	0.3804397487
460	0.3803742313
461	0.3803478255
462	0.3802115452
463	0.3801334048
464	0.3799500143
465	0.3798885524
466	0.3798302755
467	0.3796755406
468	0.3795421608
469	0.3794298002
470	0.3793877497
471	0.3793187174
472	0.3792442105
473	0.379099922
474	0.3789942991
475	0.3789843711
476	0.3788209513
477	0.3787658562
478	0.3786941528
479	0.3785966112
480	0.3785178829
481	0.3784074
482	0.3783268928
483	0.3782275444
484	0.3781420069
485	0.3780729606
486	0.3780710084
487	0.378012665
488	0.3779415458
489	0.3778916795
490	0.3778133071
491	0.3776872949
492	0.3775639751
493	0.3774607789
494	0.377384977
495	0.3772741038
496	0.3771942264
497	0.3771447125
498	0.3770481946
499	0.3769144686
500	0.3769084145
501	0.3768576587
502	0.3768170366
503	0.3766898332
504	0.3766077698
505	0.3765221592
506	0.3764533173
507	0.3763892978
508	0.376344117
509	0.3762495045
510	0.3761340964
511	0.3760807321
512	0.3759518498
513	0.3759291931
514	0.375801651
515	0.3757160828
516	0.3756070188
517	0.375508473
518	0.3753867728
519	0.3753599693
520	0.3752748959
521	0.3752357573
522	0.3750673185
523	0.3750331902
524	0.3749561036
525	0.374862837
526	0.3748102397
527	0.3747478673
528	0.3747100405
529	0.3746283148
530	0.3745810094
531	0.3745038284
532	0.374403089
533	0.3743143262
534	0.3742194517
535	0.3740593282
536	0.373844495
537	0.3737761618
538	0.3737151967
539	0.3736709248
540	0.3736674861
541	0.3735101354
542	0.3734722388
543	0.3733857939
544	0.3732685046
545	0.3732473629
546	0.3731418878
547	0.3730783314
548	0.3729715824
549	0.3728115238
550	0.3727553019
551	0.3726839839
552	0.3726046434
553	0.3725358594
554	0.3725333779
555	0.3724565641
556	0.3723513984
557	0.3722926477
558	0.3721596271
559	0.3720393133
560	0.3719292832
561	0.3718888401
562	0.3718838606
563	0.3718132317
564	0.3716867766
565	0.3715406188
566	0.3715127871
567	0.3714407125
568	0.3713337933
569	0.3713109033
570	0.3712111591
571	0.3711220634
572	0.3710518484
573	0.3709946567
574	0.3709567862
575	0.3708988888
576	0.370829034
577	0.3707462598
578	0.3706660134
579	0.3706137344
580	0.3705764206
581	0.3704997485
582	0.3704394433
583	0.3702802339
584	0.3702776332
585	0.3701991031
586	0.3701467708
587	0.3700643362
588	0.3699978326
589	0.369948167
590	0.369932433
591	0.3699312357
592	0.3698843046
593	0.3697639891
594	0.3696700641
595	0.3694986457
596	0.3694204987
597	0.3693622936
598	0.3692956479
599	0.3692484424
600	0.3692209551
601	0.3691258825
602	0.369107316
603	0.3690780578
604	0.3689773603
605	0.3688953369
606	0.3687508069
607	0.3686397459
608	0.3685665678
609	0.3684835514
610	0.3684072361
611	0.3683942803
612	0.3683488152
613	0.3682644225
614	0.3681631565
615	0.3680917646
616	0.3680028403
617	0.3679560947
618	0.3679002538
619	0.3677911972
620	0.3677344548
621	0.3677303448
622	0.36769398
623	0.3675662588
624	0.3674070762
625	0.3673798203
626	0.3673132996
627	0.3672334997
628	0.3671952678
629	0.3671594502
630	0.367125378
631	0.3670947516
632	0.3670380607
633	0.3669756938
634	0.3669142052
635	0.3667239645
636	0.3666507063
637	0.366596998
638	0.3665035456
639	0.3664395444
640	0.3663376088
641	0.3662458469
642	0.366134458
643	0.3660846776
644	0.3660046382
645	0.365868477
646	0.3658180121
647	0.365773884
648	0.3656883703
649	0.3655691119
650	0.3654571872
651	0.3653722737
652	0.3653187156
653	0.3652587834
654	0.3651062177
655	0.3649576745
656	0.3648672281
657	0.3647749237
658	0.3647716791
659	0.3646785567
660	0.3646185076
661	0.3645262173
662	0.3644013635
663	0.3643138247
664	0.3642443454
665	0.3641260128
666	0.3640700076
667	0.3639994662
668	0.3639301052
669	0.3638808396
670	0.3638325067
671	0.3637098481
672	0.3636298075
673	0.3635611847
674	0.3635181129
675	0.3633986933
676	0.3633874774
677	0.3633039037
678	0.3632079877
679	0.3631025629
680	0.3630995619
681	0.363069917
682	0.3630088432
683	0.3629071621
684	0.3628936608
685	0.3628749557
686	0.3628178044
687	0.362753248
688	0.3626543197
689	0.3625682347
690	0.3624693835
691	0.362352051
692	0.3622774466
693	0.3621749823
694	0.3621300561
695	0.362050402
696	0.3620114853
697	0.3619418545
698	0.361883413
699	0.3617158353
700	0.3616715513
701	0.3616512178
702	0.3616377523
703	0.3616308285
704	0.3615651573
705	0.3615078015
