iter	Passed	Remaining
0	285	285262
1	375	187377
2	454	151151
3	531	132391
4	596	118634
5	643	106523
6	692	98167
7	741	91884
8	787	86719
9	816	80834
10	854	76822
11	893	73592
12	931	70748
13	1012	71312
14	1061	69681
15	1105	67996
16	1145	66241
17	1195	65213
18	1237	63908
19	1275	62481
20	1323	61693
21	1368	60827
22	1422	60439
23	1470	59817
24	1510	58904
25	1555	58287
26	1599	57645
27	1639	56911
28	1677	56163
29	1717	55523
30	1764	55148
31	1808	54693
32	1880	55093
33	1933	54937
34	1988	54836
35	2058	55110
36	2106	54827
37	2167	54879
38	2215	54591
39	2262	54308
40	2304	53893
41	2323	53005
42	2365	52644
43	2404	52252
44	2441	51820
45	2480	51450
46	2526	51232
47	2562	50818
48	2598	50441
49	2632	50009
50	2669	49666
51	2704	49305
52	2736	48887
53	2771	48552
54	2803	48162
55	2835	47792
56	2870	47481
57	2903	47157
58	2938	46867
59	2971	46547
60	3005	46259
61	3035	45926
62	3067	45620
63	3100	45339
64	3141	45191
65	3176	44947
66	3210	44702
67	3242	44445
68	3278	44240
69	3313	44024
70	3352	43860
71	3390	43703
72	3429	43549
73	3463	43336
74	3497	43139
75	3548	43137
76	3595	43101
77	3654	43201
78	3703	43176
79	3743	43048
80	3780	42896
81	3819	42764
82	3862	42673
83	3904	42572
84	3947	42493
85	3994	42450
86	4028	42278
87	4064	42120
88	4096	41932
89	4137	41833
90	4170	41659
91	4202	41478
92	4234	41301
93	4268	41139
94	4301	40977
95	4339	40863
96	4375	40735
97	4420	40683
98	4461	40603
99	4497	40473
100	4527	40300
101	4561	40157
102	4592	39998
103	4625	39848
104	4661	39735
105	4703	39673
106	4776	39867
107	4817	39791
108	4864	39763
109	4899	39640
110	4936	39535
111	4973	39429
112	5010	39329
113	5046	39217
114	5077	39071
115	5092	38808
116	5127	38695
117	5157	38551
118	5189	38421
119	5221	38290
120	5257	38189
121	5289	38066
122	5322	37950
123	5355	37832
124	5370	37596
125	5404	37487
126	5438	37384
127	5470	37265
128	5507	37188
129	5545	37110
130	5577	36998
131	5607	36873
132	5637	36750
133	5671	36653
134	5707	36568
135	5748	36517
136	5783	36431
137	5816	36331
138	5850	36240
139	5880	36125
140	5913	36028
141	5945	35925
142	5984	35864
143	6029	35843
144	6070	35795
145	6109	35738
146	6146	35667
147	6185	35610
148	6222	35540
149	6261	35482
150	6295	35395
151	6327	35300
152	6359	35207
153	6395	35131
154	6428	35044
155	6459	34948
156	6491	34855
157	6524	34767
158	6560	34700
159	6598	34641
160	6647	34642
161	6679	34553
162	6713	34475
163	6746	34392
164	6776	34295
165	6813	34231
166	6850	34172
167	6889	34120
168	6926	34056
169	6960	33982
170	6992	33898
171	7022	33805
172	7055	33728
173	7090	33658
174	7125	33591
175	7158	33516
176	7192	33441
177	7224	33362
178	7257	33287
179	7289	33209
180	7322	33132
181	7357	33067
182	7392	33004
183	7424	32924
184	7454	32838
185	7486	32764
186	7518	32688
187	7548	32603
188	7585	32547
189	7615	32467
190	7654	32423
191	7689	32359
192	7721	32285
193	7754	32215
194	7789	32156
195	7818	32072
196	7848	31993
197	7880	31918
198	7916	31866
199	7953	31812
200	7985	31745
201	8017	31671
202	8046	31591
203	8078	31522
204	8111	31458
205	8144	31391
206	8177	31326
207	8211	31265
208	8244	31204
209	8275	31131
210	8309	31071
211	8341	31005
212	8384	30980
213	8417	30917
214	8449	30852
215	8480	30782
216	8515	30727
217	8546	30659
218	8578	30591
219	8611	30531
220	8647	30479
221	8678	30413
222	8718	30379
223	8760	30349
224	8798	30307
225	8831	30246
226	8862	30180
227	8895	30118
228	8929	30063
229	8959	29994
230	8996	29948
231	9031	29897
232	9068	29850
233	9102	29797
234	9137	29744
235	9170	29688
236	9204	29633
237	9237	29575
238	9270	29519
239	9303	29460
240	9336	29404
241	9370	29349
242	9406	29303
